operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes,entropy
encryption,76,500KB file,16.0,1.6283597946166992,0.005421699985163286,512008,7.522200693543046
encryption,77,500KB file,3.6,1.6283597946166992,0.005554400006076321,512008,7.522200693543046
encryption,78,500KB file,4.2,1.6283597946166992,0.0055847000039648265,512008,7.522200693543046
encryption,79,500KB file,4.0,1.6283597946166992,0.005566100007854402,512008,7.522200693543046
encryption,80,500KB file,16.7,1.6283597946166992,0.005854899995028973,512008,7.522200693543046
encryption,81,500KB file,8.3,1.6283597946166992,0.005884500016691163,512008,7.522200693543046
encryption,82,500KB file,11.1,1.6283597946166992,0.005686600023182109,512008,7.522200693543046
encryption,83,500KB file,6.1,1.6283597946166992,0.005823200015584007,512008,7.522200693543046
encryption,84,500KB file,8.3,1.6283597946166992,0.005786299996543676,512008,7.522200693543046
encryption,85,500KB file,3.6,1.6283597946166992,0.005313999979989603,512008,7.522200693543046
encryption,86,500KB file,44.4,1.6283597946166992,0.006223600008524954,512008,7.522200693543046
encryption,87,500KB file,3.4,1.6283597946166992,0.0055973000125959516,512008,7.522200693543046
encryption,88,500KB file,16.7,1.6283597946166992,0.005536399985430762,512008,7.522200693543046
encryption,89,500KB file,8.0,1.6283597946166992,0.006218099995749071,512008,7.522200693543046
encryption,90,500KB file,7.4,1.6283597946166992,0.006085300003178418,512008,7.522200693543046
encryption,91,500KB file,21.2,1.6283597946166992,0.005837200005771592,512008,7.522200693543046
encryption,92,500KB file,4.0,1.6283597946166992,0.005811300012283027,512008,7.522200693543046
encryption,93,500KB file,16.0,1.6283597946166992,0.006093100004363805,512008,7.522200693543046
encryption,94,500KB file,12.0,1.6283597946166992,0.006119800003943965,512008,7.522200693543046
encryption,95,500KB file,4.2,1.6283597946166992,0.006325900001684204,512008,7.522200693543046
encryption,96,500KB file,20.0,1.6283597946166992,0.005746100010583177,512008,7.522200693543046
encryption,97,500KB file,4.0,1.6283597946166992,0.00572939999983646,512008,7.522200693543046
encryption,98,500KB file,7.1,1.6283597946166992,0.005985199997667223,512008,7.522200693543046
encryption,99,500KB file,4.2,1.6283597946166992,0.005843699997058138,512008,7.522200693543046
encryption,100,500KB file,8.0,1.6283597946166992,0.005858999997144565,512008,7.522200693543046
decryption,1,500KB file,11.1,0.9772672653198242,0.0035903000098187476,512001,0
decryption,2,500KB file,33.3,0.9772672653198242,0.0040342999855056405,512001,0
decryption,3,500KB file,8.3,0.9772672653198242,0.003531000023940578,512001,0
decryption,4,500KB file,4.2,0.9772672653198242,0.003434599988395348,512001,0
decryption,5,500KB file,11.1,0.9772672653198242,0.004105200001504272,512001,0
decryption,6,500KB file,1.0,0.9772672653198242,0.003429800010053441,512001,0
decryption,7,500KB file,3.6,0.9772672653198242,0.0033614000130910426,512001,0
decryption,8,500KB file,7.7,0.9772672653198242,0.0038284000183921307,512001,0
decryption,9,500KB file,12.9,0.9772672653198242,0.003655999986222014,512001,0
decryption,10,500KB file,20.8,0.9772672653198242,0.003668899997137487,512001,0
decryption,11,500KB file,12.5,0.9772672653198242,0.003461800020886585,512001,0
decryption,12,500KB file,11.1,0.9772672653198242,0.003385299991350621,512001,0
decryption,13,500KB file,10.3,0.9772672653198242,0.0033786999993026257,512001,0
decryption,14,500KB file,8.3,0.9772672653198242,0.0035460999934002757,512001,0
decryption,15,500KB file,7.7,0.9772672653198242,0.0033941000001505017,512001,0
decryption,16,500KB file,8.0,0.9772672653198242,0.0033226000086870044,512001,0
decryption,17,500KB file,8.3,0.9772672653198242,0.00332169997273013,512001,0
decryption,18,500KB file,3.7,0.9772672653198242,0.00371879999875091,512001,0
decryption,19,500KB file,24.1,0.9772672653198242,0.0034394999966025352,512001,0
decryption,20,500KB file,17.4,0.9772672653198242,0.003487799986032769,512001,0
decryption,21,500KB file,18.8,0.9772672653198242,0.003582100005587563,512001,0
decryption,22,500KB file,32.0,0.9772672653198242,0.0035131000040564686,512001,0
decryption,23,500KB file,26.7,0.9772672653198242,0.003577299998141825,512001,0
decryption,24,500KB file,29.2,0.9772672653198242,0.003548699984094128,512001,0
decryption,25,500KB file,11.5,0.9772672653198242,0.0034666999999899417,512001,0
decryption,26,500KB file,22.7,0.9772672653198242,0.00361070001963526,512001,0
decryption,27,500KB file,3.8,0.9772672653198242,0.0034980000054929405,512001,0
decryption,28,500KB file,41.7,0.9772672653198242,0.0037984000227879733,512001,0
decryption,29,500KB file,58.1,0.9772672653198242,0.004357700003311038,512001,0
decryption,30,500KB file,33.3,0.9772672653198242,0.0038056999910622835,512001,0
decryption,31,500KB file,16.1,0.9772672653198242,0.005807200010167435,512001,0
decryption,32,500KB file,95.8,0.9772672653198242,0.005350899999029934,512001,0
decryption,33,500KB file,8.3,0.9772672653198242,0.004262400005245581,512001,0
decryption,34,500KB file,8.3,0.9772672653198242,0.0036087000044062734,512001,0
decryption,35,500KB file,4.2,0.9772672653198242,0.003865700011374429,512001,0
decryption,36,500KB file,38.5,0.9772672653198242,0.0034325000015087426,512001,0
decryption,37,500KB file,12.5,0.9772672653198242,0.003403400012757629,512001,0
decryption,38,500KB file,3.6,0.9772672653198242,0.003814700001385063,512001,0
decryption,39,500KB file,4.0,0.9772672653198242,0.003320999996503815,512001,0
decryption,40,500KB file,3.7,0.9772672653198242,0.003402200003620237,512001,0
decryption,41,500KB file,8.3,0.9772672653198242,0.00339290002011694,512001,0
decryption,42,500KB file,4.0,0.9772672653198242,0.0033235000155400485,512001,0
decryption,43,500KB file,1.0,0.9772672653198242,0.003337000001920387,512001,0
decryption,44,500KB file,12.0,0.9772672653198242,0.00381960000959225,512001,0
decryption,45,500KB file,12.9,0.9772672653198242,0.0034257000079378486,512001,0
decryption,46,500KB file,3.3,0.9772672653198242,0.003348300000652671,512001,0
decryption,47,500KB file,4.0,0.9772672653198242,0.0035211000067647547,512001,0
decryption,48,500KB file,3.4,0.9772672653198242,0.0034342000144533813,512001,0
decryption,49,500KB file,3.8,0.9772672653198242,0.0034174000029452145,512001,0
decryption,50,500KB file,12.5,0.9772672653198242,0.003321299998788163,512001,0
decryption,51,500KB file,7.4,0.9772672653198242,0.003398899978492409,512001,0
decryption,52,500KB file,7.1,0.9772672653198242,0.0033968999923672527,512001,0
decryption,53,500KB file,7.4,0.9772672653198242,0.0033072000078391284,512001,0
